gene_ID	gene_names	baseMean	log2FoldChange	lfcSE	pvalue	padj	miR430	mitochondrial	DE
ENSDARG00000054272	ENSDARG00000054272	caprin1b	177.958606180776	-0.935505151980893	0.76299593176605	0.003866388294492	0.12690278519622	FALSE	FALSE	not DE
ENSDARG00000070644	ENSDARG00000070644	ttpal	6.01431105496404	-0.925053382985368	1.25404388222401	0.00961562127994682	0.201067504896631	FALSE	FALSE	not DE
ENSDARG00000002060	ENSDARG00000002060	brf2	23.5592691647483	-0.923887971229749	1.06306165164064	0.00912967365377819	0.19508097898769	FALSE	FALSE	not DE
ENSDARG00000071230	ENSDARG00000071230	lrfn5a	8.95000185675744	-0.922644822665581	1.32823093817442	0.00822324106672269	0.185290136237181	FALSE	FALSE	not DE
ENSDARG00000057058	ENSDARG00000057058	minpp1a	5.57632692626632	-0.917154234251916	1.47510828450405	0.00309694738508513	0.115625978364841	FALSE	FALSE	not DE
ENSDARG00000006370	ENSDARG00000006370	atp6v1h	6.26297929673602	-0.897264856577037	1.28278723329366	0.00954700362353636	0.200412490128455	FALSE	FALSE	not DE
ENSDARG00000044596	ENSDARG00000044596	pgap2	18.4681388536771	-0.841148451367461	0.977081578438607	0.00998558012163715	0.204624212912308	FALSE	FALSE	not DE
ENSDARG00000090679	ENSDARG00000090679	si:ch211-79k12.2	7.28699319505881	-0.821913873014578	1.37690757351079	0.00571258092290033	0.152354391462364	FALSE	FALSE	not DE
ENSDARG00000062390	ENSDARG00000062390	cdc42ep5	11.03235677726	-0.818699033910983	1.15860048231293	0.012891870995507	0.241568490419398	FALSE	FALSE	not DE
ENSDARG00000037245	ENSDARG00000037245	trmo	10.588782217177	-0.812193291199336	1.33493535578898	0.0077537935662766	0.178453475910794	FALSE	FALSE	not DE
ENSDARG00000077823	ENSDARG00000077823	hmgxb3	16.3387397893099	-0.811817807069782	1.26607671240341	0.010853248230599	0.215615263200462	FALSE	FALSE	not DE
ENSDARG00000056292	ENSDARG00000056292	vsx1	10.8058270827458	-0.795836402552795	1.37617605902716	0.00513865374549463	0.142346006331382	FALSE	FALSE	not DE
ENSDARG00000094043	ENSDARG00000094043	si:ch73-376l24.3	130.789767364144	-0.768980986154084	0.775034361426252	0.00694695280138059	0.167037692861831	FALSE	FALSE	not DE
ENSDARG00000023498	ENSDARG00000023498	gmppab	12.1201538418025	-0.763717024601362	1.1781893841927	0.0141927625256127	0.250186954600419	FALSE	FALSE	not DE
ENSDARG00000029569	ENSDARG00000029569	snapc1a	10.3330250074937	-0.761253810863633	1.12355800628325	0.014942997764038	0.257273361654525	FALSE	FALSE	not DE
ENSDARG00000100467	ENSDARG00000100467	fkrp	5.46055812898704	-0.701613697794251	1.14855481055639	0.0165586838365156	0.266028002802495	FALSE	FALSE	not DE
ENSDARG00000073985	ENSDARG00000073985	pctp	6.72333263511095	-0.700173453776415	1.24021346364494	0.0118133673685208	0.22673227228011	FALSE	FALSE	not DE
ENSDARG00000031243	ENSDARG00000031243	snai3	18.1257102246192	-0.696278433701324	1.11080446619583	0.0175612547332824	0.270927767018097	FALSE	FALSE	not DE
ENSDARG00000005612	ENSDARG00000005612	aph1b	55.2100758788436	-0.694492242669015	0.893165050893782	0.0135417805486763	0.247950693930447	FALSE	FALSE	not DE
ENSDARG00000033566	ENSDARG00000033566	cyp17a1	17.4616287015232	-0.694403497618239	0.923492849914757	0.0146318467990021	0.254650161283604	FALSE	FALSE	not DE
